,,,Menores de 25,   Agricultura,   Industria,   Construcción,   Servicios,   No clasificable (1),Mayor de 25,   Agricultura,   Industria,   Construcción,   Servicios,   No clasificable (1)
2017,,,,,,,,,,,,,,
,Enero,,,,,,,,,,,,,
,,hombre,,0.8,0.5,0.56,21.37,14.27,,14.78,31.55,50.18,377.55,62.52
,,mujer,,0,0,0,26.61,8.99,,7.73,6.2,2.64,389.62,73.55
,Febrero,,,,,,,,,,,,,
,,hombre,,0.8,0.5,0.56,21.37,14.27,,14.78,31.55,50.18,377.55,62.52
,,mujer,,0,0,0,26.61,8.99,,7.73,6.2,2.64,389.62,73.55
,Marzo,,,,,,,,,,,,,
,,hombre,,0.8,0.5,0.56,21.37,14.27,,14.78,31.55,50.18,377.55,62.52
,,mujer,,0,0,0,26.61,8.99,,7.73,6.2,2.64,389.62,73.55
,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,
,Octubre,,,,,,,,,,,,,
,,hombre,,0.32,1.16,1.03,24.89,12.43,,17.04,35.59,52.19,375.63,64.34
,,mujer,,0,0,0.17,21.54,11.23,,5.86,7.46,2.56,396.82,70.02
,Noviembre,,,,,,,,,,,,,
,,hombre,,0.32,1.16,1.03,24.89,12.43,,17.04,35.59,52.19,375.63,64.34
,,mujer,,0,0,0.17,21.54,11.23,,5.86,7.46,2.56,396.82,70.02
,Diciembre,,,,,,,,,,,,,
,,hombre,,0.32,1.16,1.03,24.89,12.43,,17.04,35.59,52.19,375.63,64.34
,,mujer,,0,0,0.17,21.54,11.23,,5.86,7.46,2.56,396.82,70.02
,Julio,,,,,,,,,,,,,
,,hombre,,0.44,2.05,1.08,23.29,15.14,,17.41,37.83,47.22,371.64,72.03
,,mujer,,0,0.26,0.21,21.91,10.18,,7.23,9.06,4.14,381.74,79.28
,Agosto,,,,,,,,,,,,,
,,hombre,,0.44,2.05,1.08,23.29,15.14,,17.41,37.83,47.22,371.64,72.03
,,mujer,,0,0.26,0.21,21.91,10.18,,7.23,9.06,4.14,381.74,79.28
,Septiembre,,,,,,,,,,,,,
,,hombre,,0.44,2.05,1.08,23.29,15.14,,17.41,37.83,47.22,371.64,72.03
,,mujer,,0,0.26,0.21,21.91,10.18,,7.23,9.06,4.14,381.74,79.28
,Abril,,,,,,,,,,,,,
,,hombre,,0.47,2.06,0.82,22.31,14.32,,15.93,35.11,46.2,376.88,74.78
,,mujer,,0.5,0,0,19.77,9.05,,6.13,8.92,2.79,377.6,87.08
,Mayo,,,,,,,,,,,,,
,,hombre,,0.47,2.06,0.82,22.31,14.32,,15.93,35.11,46.2,376.88,74.78
,,mujer,,0.5,0,0,19.77,9.05,,6.13,8.92,2.79,377.6,87.08
,Junio,,,,,,,,,,,,,
,,hombre,,0.47,2.06,0.82,22.31,14.32,,15.93,35.11,46.2,376.88,74.78
,,mujer,,0.5,0,0,19.77,9.05,,6.13,8.92,2.79,377.6,87.08
,Enero,,,,,,,,,,,,,
,,hombre,,0.3,1.67,1.36,29.34,9.14,,18.63,32.87,44.44,380.86,75.23
,,mujer,,0.68,0.37,0,21.49,8.88,,8.49,8.9,2.23,369.96,82.22
,Febrero,,,,,,,,,,,,,
,,hombre,,0.3,1.67,1.36,29.34,9.14,,18.63,32.87,44.44,380.86,75.23
,,mujer,,0.68,0.37,0,21.49,8.88,,8.49,8.9,2.23,369.96,82.22
,Marzo,,,,,,,,,,,,,
,,hombre,,0.3,1.67,1.36,29.34,9.14,,18.63,32.87,44.44,380.86,75.23
,,mujer,,0.68,0.37,0,21.49,8.88,,8.49,8.9,2.23,369.96,82.22
,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,
,Octubre,,,,,,,,,,,,,
,,hombre,,1.94,2.18,0.85,27.57,12.68,,19.79,32.21,49.21,377.18,82.2
,,mujer,,0.43,0.42,0,23.22,11.02,,7.25,5.99,2.21,373.54,80.51
,Noviembre,,,,,,,,,,,,,
,,hombre,,1.94,2.18,0.85,27.57,12.68,,19.79,32.21,49.21,377.18,82.2
,,mujer,,0.43,0.42,0,23.22,11.02,,7.25,5.99,2.21,373.54,80.51
,Diciembre,,,,,,,,,,,,,
,,hombre,,1.94,2.18,0.85,27.57,12.68,,19.79,32.21,49.21,377.18,82.2
,,mujer,,0.43,0.42,0,23.22,11.02,,7.25,5.99,2.21,373.54,80.51
,Julio,,,,,,,,,,,,,
,,hombre,,2.32,2.07,1.59,24.02,16.45,,18.11,32.05,50.16,368.04,87.32
,,mujer,,0.42,0.45,0,21.68,14.34,,6.97,5.65,2.53,362.62,93.89
,Agosto,,,,,,,,,,,,,
